genus|total_label|passport_label|label|group|group_order|signature|g0|r|dim|con|cc|braid|topological|jacobian_decomp|genvec|connected_genvec|trans_group|min_deg|hyperelliptic|hyp_involution|eqn|cyclic_trigonal|cinv|full_label|full_auto|signH
smallint|text|text|text|text|integer|integer[]|smallint|smallint|smallint|text[]|integer[]|integer[]|integer[]|jsonb|numeric[]|text[]|text|integer|boolean|numeric|text[]|boolean|numeric|text|text|integer[]

2|2.2-1.0.2-2-2-2-2-2.1.1|2.2-1.0.2-2-2-2-2-2.1|2.2-1.0.2-2-2-2-2-2|2.1|2|{0, 2, 2, 2, 2, 2, 2}|0|6|3|{ "2A", "2A", "2A", "2A", "2A", "2A" }|{1, 1}|{1, 1}|{1, 1}|[ [ 2, 1, 2 ] ]|{ 1, 1, 1, 1, 1, 1 }|{ "a", "a", "a", "a", "a", "a" }|2T1|2|True|1|{ "y^2=x(x^{4}+a_{1}x^{3}+a_{2}x^{2}+a_{3}x + 1)" }|False|NULL|NULL|NULL|NULL
2|2.4-2.0.2-2-2-2-2.1.1|2.4-2.0.2-2-2-2-2.1|2.4-2.0.2-2-2-2-2|4.2|4|{0, 2, 2, 2, 2, 2}|0|5|2|{ "2C", "2A", "2A", "2A", "2B" }|{1, 1}|{1, 1}|{1, 1}|[ [ 1, 1, 3 ], [ 1, 1, 4 ] ]|{ 7, 23, 23, 23, 16 }|{ "b", "a", "a", "a", "ba" }|4T2|4|True|23|{ "y^2=x^{6}+a_{1}x^{4}+a_{2}x^{2}+1", "y^2=x(x^2+a_{1}x+1)(x^2+a_{2}x+1)" }|False|NULL|NULL|NULL|NULL
2|2.4-2.0.2-2-2-2-2.2.1|2.4-2.0.2-2-2-2-2.2|2.4-2.0.2-2-2-2-2|4.2|4|{0, 2, 2, 2, 2, 2}|0|5|2|{ "2C", "2A", "2B", "2B", "2B" }|{2, 1}|{2, 1}|{1, 1}|[ [ 1, 1, 2 ], [ 1, 1, 3 ] ]|{ 7, 23, 16, 16, 16 }|{ "b", "a", "ba", "ba", "ba" }|4T2|4|True|16|{ "y^2=x^{6}+a_{1}x^{4}+a_{2}x^{2}+1", "y^2=x(x^2+a_{1}x+1)(x^2+a_{2}x+1)" }|False|NULL|NULL|NULL|NULL
2|2.4-2.0.2-2-2-2-2.3.1|2.4-2.0.2-2-2-2-2.3|2.4-2.0.2-2-2-2-2|4.2|4|{0, 2, 2, 2, 2, 2}|0|5|2|{ "2C", "2C", "2C", "2A", "2B" }|{3, 1}|{3, 1}|{1, 1}|[ [ 1, 1, 2 ], [ 1, 1, 4 ] ]|{ 7, 7, 7, 23, 16 }|{ "b", "b", "b", "a", "ba" }|4T2|4|True|7|{ "y^2=x^{6}+a_{1}x^{4}+a_{2}x^{2}+1", "y^2=x(x^2+a_{1}x+1)(x^2+a_{2}x+1)" }|False|NULL|NULL|NULL|NULL
2|2.8-3.0.2-2-2-4.1.1|2.8-3.0.2-2-2-4.1|2.8-3.0.2-2-2-4|8.3|8|{0, 2, 2, 2, 4}|0|4|1|{ "2A", "2B", "2C", "4A" }|{1, 1}|{1, 1}|{1, 1}|[ [ 1, 2, 5 ] ]|{ 16, 14, 23, 9 }|{ "b^-2", "b^-2a", "b^-1a", "b" }|4T3|4|True|16|{ "y^2=x(x^{4}+a_{1}x^{2}+1)", "y^2=(x^{2}-1)(x^{4}+a_{1}x^{2}+1)" }|False|NULL|NULL|NULL|NULL
2|2.10-2.0.2-5-10.1.1|2.10-2.0.2-5-10.1|2.10-2.0.2-5-10|10.2|10|{0, 2, 5, 10}|0|3|0|{ "2A", "5A1", "10A-3" }|{1, 1}|{1, 1}|{1, 1}|[ [ 2, 1, 4 ] ]|{ 2045400, 818224, 1227330 }|{ "a^5", "a^8", "a^7" }|10T1|10|True|2045400|{ "y^2=x^{5}+1" }|False|NULL|NULL|NULL|NULL
2|2.10-2.0.2-5-10.2.1|2.10-2.0.2-5-10.2|2.10-2.0.2-5-10|10.2|10|{0, 2, 5, 10}|0|3|0|{ "2A", "5A-1", "10A-1" }|{2, 1}|{2, 1}|{1, 1}|[ [ 2, 1, 4 ] ]|{ 2045400, 1636416, 409113 }|{ "a^5", "a^6", "a^9" }|10T1|10|True|2045400|{ "y^2=x^{5}+1" }|False|NULL|NULL|NULL|NULL
2|2.10-2.0.2-5-10.3.1|2.10-2.0.2-5-10.3|2.10-2.0.2-5-10|10.2|10|{0, 2, 5, 10}|0|3|0|{ "2A", "5A2", "10A1" }|{3, 1}|{3, 1}|{1, 1}|[ [ 2, 1, 4 ] ]|{ 2045400, 2453760, 3265920 }|{ "a^5", "a^4", "a" }|10T1|10|True|2045400|{ "y^2=x^{5}+1" }|False|NULL|NULL|NULL|NULL
2|2.10-2.0.2-5-10.4.1|2.10-2.0.2-5-10.4|2.10-2.0.2-5-10|10.2|10|{0, 2, 5, 10}|0|3|0|{ "2A", "5A-2", "10A3" }|{4, 1}|{4, 1}|{1, 1}|[ [ 2, 1, 4 ] ]|{ 2045400, 3225600, 2857680 }|{ "a^5", "a^2", "a^3" }|10T1|10|True|2045400|{ "y^2=x^{5}+1" }|False|NULL|NULL|NULL|NULL
