total_label|passport_label|con|con_label|connected_genvec
text|text|text|text|jsonb

4.2-1.0.2.2.2.2.2.2.2.2.2.2.1.1|4.2-1.0.2.2.2.2.2.2.2.2.2.2.1|[ 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 2A, 2A, 2A, 2A ]|[ a, a, a, a, a, a, a, a, a, a ]
4.3-1.0.3.3.3.3.3.3.1.1|4.3-1.0.3.3.3.3.3.3.1|[ 3, 3, 3, 3, 3, 3 ]|[ 3A1, 3A1, 3A1, 3A1, 3A1, 3A1 ]|[ a^2, a^2, a^2, a^2, a^2, a^2 ]
4.3-1.0.3.3.3.3.3.3.2.1|4.3-1.0.3.3.3.3.3.3.2|[ 2, 2, 2, 3, 3, 3 ]|[ 3A-1, 3A-1, 3A-1, 3A1, 3A1, 3A1 ]|[ a, a, a, a^2, a^2, a^2 ]
4.3-1.0.3.3.3.3.3.3.3.1|4.3-1.0.3.3.3.3.3.3.3|[ 2, 2, 2, 2, 2, 2 ]|[ 3A-1, 3A-1, 3A-1, 3A-1, 3A-1, 3A-1 ]|[ a, a, a, a, a, a ]
4.4-1.0.2.4.4.4.4.1.1|4.4-1.0.2.4.4.4.4.1|[ 2, 3, 3, 3, 4 ]|[ 2A, 4A1, 4A1, 4A1, 4A-1 ]|[ a^-2, a, a, a, a^-1 ]
4.4-1.0.2.4.4.4.4.2.1|4.4-1.0.2.4.4.4.4.2|[ 2, 3, 4, 4, 4 ]|[ 2A, 4A1, 4A-1, 4A-1, 4A-1 ]|[ a^-2, a, a^-1, a^-1, a^-1 ]
4.4-1.0.2.2.2.2.4.4.1.1|4.4-1.0.2.2.2.2.4.4.1|[ 2, 2, 2, 2, 3, 4 ]|[ 2A, 2A, 2A, 2A, 4A1, 4A-1 ]|[ a^-2, a^-2, a^-2, a^-2, a, a^-1 ]
4.4-2.0.2.2.2.2.2.2.2.1.1|4.4-2.0.2.2.2.2.2.2.2.1|[ 2, 3, 3, 3, 3, 3, 4 ]|[ 2C, 2A, 2A, 2A, 2A, 2A, 2B ]|[ b, a, a, a, a, a, ba ]
4.4-2.0.2.2.2.2.2.2.2.2.1|4.4-2.0.2.2.2.2.2.2.2.2|[ 2, 3, 3, 3, 4, 4, 4 ]|[ 2C, 2A, 2A, 2A, 2B, 2B, 2B ]|[ b, a, a, a, ba, ba, ba ]
4.4-2.0.2.2.2.2.2.2.2.3.1|4.4-2.0.2.2.2.2.2.2.2.3|[ 2, 3, 4, 4, 4, 4, 4 ]|[ 2C, 2A, 2B, 2B, 2B, 2B, 2B ]|[ b, a, ba, ba, ba, ba, ba ]
4.4-2.0.2.2.2.2.2.2.2.4.1|4.4-2.0.2.2.2.2.2.2.2.4|[ 2, 2, 2, 3, 3, 3, 4 ]|[ 2C, 2C, 2C, 2A, 2A, 2A, 2B ]|[ b, b, b, a, a, a, ba ]
4.4-2.0.2.2.2.2.2.2.2.5.1|4.4-2.0.2.2.2.2.2.2.2.5|[ 2, 2, 2, 3, 4, 4, 4 ]|[ 2C, 2C, 2C, 2A, 2B, 2B, 2B ]|[ b, b, b, a, ba, ba, ba ]
4.4-2.0.2.2.2.2.2.2.2.6.1|4.4-2.0.2.2.2.2.2.2.2.6|[ 2, 2, 2, 2, 2, 3, 4 ]|[ 2C, 2C, 2C, 2C, 2C, 2A, 2B ]|[ b, b, b, b, b, a, ba ]
4.5-1.0.5.5.5.5.1.1|4.5-1.0.5.5.5.5.1|[ 2, 2, 5, 5 ]|[ 5A-1, 5A-1, 5A1, 5A1 ]|[ a, a, a^4, a^4 ]
4.5-1.0.5.5.5.5.2.1|4.5-1.0.5.5.5.5.2|[ 2, 2, 2, 3 ]|[ 5A-1, 5A-1, 5A-1, 5A-2 ]|[ a, a, a, a^2 ]
4.5-1.0.5.5.5.5.3.1|4.5-1.0.5.5.5.5.3|[ 2, 4, 4, 4 ]|[ 5A-1, 5A2, 5A2, 5A2 ]|[ a, a^3, a^3, a^3 ]
